Using Epoch = 40, Overall Accuracy = 89.50%
Training Time = 60081ms, Testing Time = 265ms
Classification Rate for each digit:
[0: 95.56%,	1: 99.07%,	2: 82.52%,	3: 89.00%,	4: 92.52%,	5: 90.22%,	6: 92.31%,	7: 83.96%,	8: 82.52%,	9: 88.00%,]

Confusion Matrix:
		0		1		2		3		4		5		6		7		8		9
0	[95.56%	0.00%	0.00%	0.00%	0.00%	0.00%	1.11%	1.11%	2.22%	0.00%	]
1	[0.00%	99.07%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	]
2	[0.00%	1.94%	82.52%	2.91%	0.97%	0.00%	2.91%	3.88%	2.91%	1.94%	]
3	[0.00%	1.00%	2.00%	89.00%	0.00%	2.00%	1.00%	5.00%	0.00%	0.00%	]
4	[0.00%	0.00%	0.00%	0.00%	92.52%	0.00%	1.87%	2.80%	0.00%	2.80%	]
5	[1.09%	0.00%	0.00%	5.43%	1.09%	90.22%	1.09%	1.09%	0.00%	0.00%	]
6	[1.10%	1.10%	0.00%	0.00%	2.20%	1.10%	92.31%	2.20%	0.00%	0.00%	]
7	[0.00%	2.83%	5.66%	2.83%	0.94%	0.00%	0.00%	83.96%	0.00%	3.77%	]
8	[0.97%	0.97%	1.94%	4.85%	4.85%	0.00%	0.97%	1.94%	82.52%	0.97%	]
9	[1.00%	0.00%	0.00%	5.00%	6.00%	0.00%	0.00%	0.00%	0.00%	88.00%	]
