Using Epoch = 40, Overall Accuracy = 87.60%
Training Time = 5820ms, Testing Time = 29ms
Classification Rate for each digit:
[0: 96.67%,	1: 97.22%,	2: 82.52%,	3: 86.00%,	4: 90.65%,	5: 81.52%,	6: 89.01%,	7: 86.79%,	8: 80.58%,	9: 85.00%,]

Confusion Matrix:
		0		1		2		3		4		5		6		7		8		9
0	[96.67%	0.00%	0.00%	0.00%	0.00%	0.00%	1.11%	1.11%	1.11%	0.00%	]
1	[0.00%	97.22%	0.00%	0.00%	0.93%	0.00%	0.93%	0.00%	0.93%	0.00%	]
2	[0.00%	0.00%	82.52%	1.94%	2.91%	0.00%	2.91%	3.88%	2.91%	2.91%	]
3	[0.00%	0.00%	2.00%	86.00%	1.00%	3.00%	2.00%	5.00%	0.00%	1.00%	]
4	[0.00%	0.00%	0.00%	0.93%	90.65%	0.00%	2.80%	1.87%	0.00%	3.74%	]
5	[2.17%	0.00%	0.00%	3.26%	3.26%	81.52%	1.09%	2.17%	3.26%	3.26%	]
6	[1.10%	1.10%	0.00%	0.00%	3.30%	3.30%	89.01%	1.10%	1.10%	0.00%	]
7	[0.00%	1.89%	4.72%	1.89%	0.94%	0.00%	0.00%	86.79%	0.00%	3.77%	]
8	[0.97%	1.94%	2.91%	5.83%	2.91%	0.00%	0.97%	1.94%	80.58%	1.94%	]
9	[1.00%	0.00%	0.00%	4.00%	7.00%	1.00%	0.00%	2.00%	0.00%	85.00%	]
